texto	fonte	sim_ironico	nao_ironico	naosei_ironico	num_de_anotadores_total	Comparação	Hipérbole	Imparidade	Metáfora	Paradoxo	Vulgarismo	Outro	Sem Evidência	
Bloco leva reprivatização do BPN ao Parlamento	Público	0	0	0	0	0	0	0	0	0	0	0	0	
Isaltino garante que Oeiras não tem acordo de extradição com Portugal 	Inimigo Público	0	0	0	1	0	1	0	0	0	0	0	0	
Novo cartaz do PS pede 44 % de votos mas o slogan é infeliz : “O PS quer o 44“ 	Inimigo Público	0	0	0	1	0	0	0	0	0	0	1	0	
Hoje é dia de libertação dos impostos e amanhã começamos a trabalhar para as coimas , as taxas e as derrapagens 	Inimigo Público	0	0	0	1	0	0	0	0	1	0	0	0	
Nicolau Santos exigiu que Cavaco Silva lhe apresentasse provas de que era Presidente da República de Portugal antes de ser entrevistado pelo Expresso 	Inimigo Público	0	0	0	1	0	0	0	0	0	0	1	0	
‘A Bola’ diz que o Sporting subiu ao sexto lugar , quando está em sétimo , e que o Benfica ganhou a Champions 	Inimigo Público	0	0	0	1	0	0	0	0	0	0	1	0	
Relógio de Paulo Portas que erra a data de saída da 'troika ' foi o mesmo usado para marcar a saída de Paulo Portas do Governo 	Inimigo Público	0	0	0	1	0	0	0	1	0	0	0	0	
Organizadores da ‘Festa do Avante ! ’ nervosos porque a Brigada Victor Jara ainda não confirmou presença no festival 	Inimigo Público	0	0	0	1	0	0	0	0	0	0	0	1	
Avaliação de desempenho passa a ser o primeiro critério para despedimento , a partir de 1 de Junho , pelo que Portugal pode ficar sem governo a partir de dia 2 	Inimigo Público	0	0	0	1	0	1	0	0	0	0	0	0	
BES muda o nome para Novo Banco e governador do Banco de Portugal passa a ser o Novo Carlos 	Inimigo Público	0	0	0	1	0	0	0	1	0	0	0	0	
Segundo resgate deixaria Portugal sem liberdade, diz Portas	Público	0	0	0	0	0	0	0	0	0	0	0	0	
Ao minuto: O dia em que o Governo pode cair	Público	0	0	0	0	0	0	0	0	0	0	0	0	
Lista VIP já estava a funcionar ainda antes de ser aprovada	Público	0	0	0	0	0	0	0	0	0	0	0	0	
Tiki-Taka : Sócrates teve 99,5 % de posse de palavra e jornalistas tiveram apenas 0,5 % de posse de palavra 	Inimigo Público	0	0	0	1	0	1	0	0	0	0	0	0	
Aumento do preço do tabaco levará a fuga de pulmões de Portugal	Inimigo Público	0	0	0	0	0	0	0	0	0	0	0	0	
Passos Coelho deve ser menos analista e mais líder, diz Marcelo	Público	0	0	0	0	0	0	0	0	0	0	0	0	
