Number,E-Word,EP-Word,Val-M,Val-SD,Arou-M,Arou-SD,Dom-M,Dom-SD,Freq,Nlett,Nsyll ,GClass,Neigh
1,abuse,maus-tratos,1.34,0.88,7.29,2.44,5.03,2.98,0.19,11,2,N,UnAv
2,accident,acidente,2.08,1.12,6.80,1.71,3.00,2.28,124.36,8,4,N,1
3,achievement,realização,7.41,1.37,4.76,2.83,7.24,1.97,88.65,10,5,N,0
4,activate,activar,6.08,1.48,5.76,2.29,5.94,2.04,4.57,7,3,V,1
5,admired,admirado,5.79,1.20,4.85,1.91,5.42,1.30,2.59,8,4,ADJ,UnAv
6,adorable,adorável,7.70,1.06,4.36,2.82,6.35,2.06,3.33,8,4,ADJ,1
7,affection,afecto,8.19,1.15,4.03,2.85,5.54,2.74,21.28,6,3,ADJ/N,1
8,afraid,receoso,3.12,1.08,6.30,1.94,3.64,1.77,5.68,7,4,ADJ,1
9,aggressive,agressivo,2.28,1.22,7.58,1.18,4.47,2.41,19.25,9,4,ADJ,0
10,agony,agonia,1.71,0.91,6.74,2.02,3.71,2.64,11.04,6,4,N,3
11,alert,alerta,5.00,1.39,6.61,1.89,5.72,2.22,19.06,6,3,ADV/N,2
12,alone,sozinho,2.71,1.55,4.67,2.53,5.00,2.25,58.05,7,3,ADJ,0
13,aloof,distante,3.08,1.81,4.71,2.38,4.27,2.68,39.17,8,3,ADJ,0
14,ambition,ambição,5.88,1.57,6.05,1.99,6.16,1.71,33.62,7,3,N,0
15,ambulance,ambulância,3.34,2.07,6.16,1.99,3.96,1.91,10.30,10,4,N,0
16,angel,anjo,7.00,1.53,2.59,1.78,3.96,2.03,27.95,4,2,N,4
17,anger,ira,2.73,1.82,7.59,1.97,4.26,2.26,5.12,3,2,N,12
18,angry,irritado,3.12,1.40,4.99,2.12,4.32,2.40,7.46,8,4,ADJ,UnAv
19,anguished,angustiado,2.43,1.21,6.10,2.00,4.28,2.85,2.71,10,5,ADJ,UnAv
20,annoy,aborrecer,2.52,1.18,5.17,2.25,3.97,1.99,13.51,9,4,V,0
21,anxious,ansioso,3.44,1.34,7.14,1.62,5.06,2.28,13.51,7,4,ADJ,0
22,agility,agilidade,6.76,1.42,5.46,2.45,6.03,2.19,3.95,9,5,N,0
23,army,exército,4.28,1.85,5.11,2.33,4.65,2.17,55.33,8,4,N,0
24,aroused,excitado,6.71,1.25,6.16,2.53,5.82,1.99,2.71,8,4,ADJ,UnAv
25,arrogant,arrogante,3.24,1.62,6.31,1.79,5.46,1.97,5.74,9,4,ADJ,0
26,assassin,assassinar,1.58,1.05,7.61,1.45,3.04,2.24,24.68,10,4,V,0
27,assault,agressão,1.62,0.91,7.43,2.02,4.09,2.66,22.82,8,3,N,0
28,astonished,espantado,5.59,1.31,6.04,1.37,4.65,2.06,8.27,9,4,ADJ,UnAv
29,autumn,outono,5.46,1.54,3.30,1.90,5.12,2.05,21.22,6,3,N,0
30,awed,maravilhado,8.08,1.11,4.69,2.57,5.91,2.32,UnAv,11,5,V,UnAv
31,baby,bebé,7.74,1.46,4.86,2.38,5.76,1.79,27.82,4,2,N,0
32,bankrupt,falência,2.18,1.27,6.18,2.35,3.38,2.24,18.01,8,3,N,1
33,bastard,bastardo,3.48,1.53,4.04,2.42,4.39,2.25,3.33,8,3,ADJ/N,0
34,beach,praia,7.98,1.63,4.41,3.11,6.73,1.91,104.56,5,2,N,4
35,beauty,beleza,7.58,1.20,4.12,2.32,5.25,2.42,68.29,6,3,N,0
36,beggar,mendigo,2.24,1.20,5.97,1.61,4.90,1.78,5.92,7,3,N,0
37,betray,trair,1.84,1.10,7.29,1.38,3.82,2.45,12.40,5,2,V,1
38,bird,pássaro,6.14,1.89,4.12,1.62,5.40,2.18,34.79,7,3,N,0
39,birthday,aniversário,7.58,1.65,6.29,2.80,5.81,1.70,33.25,11,5,N,0
40,blackmail,chantagem,2.11,1.21,6.42,2.03,4.22,2.60,5.37,9,3,N,0
41,blase,apático,2.97,1.55,5.03,1.85,4.65,1.60,2.28,7,4,ADJ,0
42,bless,abençoar,6.15,1.83,4.35,2.66,5.43,2.09,6.79,8,4,V,0
43,blind,cego,2.21,1.47,6.29,1.76,4.28,2.37,31.58,4,2,ADJ/N,4
44,blossom,florescer,7.24,1.48,3.39,2.53,5.69,2.36,6.85,9,3,V,0
45,bold,atrevido,6.53,1.31,5.58,2.02,4.57,1.85,3.39,8,4,ADJ,0
46,bomb,bomba,2.41,2.06,7.48,1.36,4.37,2.75,36.95,5,2,N,4
47,book,livro,6.56,1.40,3.20,2.03,6.24,1.99,257.98,5,2,N,2
48,bored,aborrecido,3.00,1.22,4.84,2.15,3.68,1.41,9.44,10,5,ADJ/N,0
49,bowl,tigela,5.19,0.68,3.79,1.93,5.18,1.88,12.40,6,3,N,0
