texto	fonte	ironico	num_de_anotadores_ironico	num_de_anotadores_total	Comparação	Hipérbole	Imparidade	Metáfora	Paradoxo	Vulgarismo	Outro	Sem Evidência
Efeito dominó das eleições na Catalunha : balneário do FC Porto pede a independência 	Inimigo Público	Sim	5	5	0	0	5	4	0	0	0	0
Isaltino garante que Oeiras não tem acordo de extradição com Portugal 	Inimigo Público	--	0	1	0	1	0	0	0	0	0	0
Novo cartaz do PS pede 44 % de votos mas o slogan é infeliz : “O PS quer o 44“ 	Inimigo Público	--	0	1	0	0	0	0	0	0	1	0
Abastecimento de electricidade já está regularizado , agora só falta as pessoas pagarem a factura para terem luz em casa 	Inimigo Público	--	0	1	0	0	0	0	1	0	0	0
FC Porto x Benfica envolve mil polícias , meios aéreos e dois submarinos 	Inimigo Público	--	0	1	0	1	0	0	0	0	0	0
Novo secretário de Estado contratado não pode ser inscrito pelo governo , pois esta temporada já trabalhou em duas entidades públicas diferentes 	Inimigo Público	--	0	1	0	0	0	0	0	0	1	0
Zeinal Bava lamenta ser mais um português obrigado a emigrar para o Brasil em busca de uma vida melhor 	Inimigo Público	--	0	1	0	0	0	0	0	0	0	1
Ministério da Saúde lança app para fazer hemodiálise em casa através do tablet ou telemóvel 	Inimigo Público	--	0	1	0	0	0	1	0	0	0	0
Hoje é dia de libertação dos impostos e amanhã começamos a trabalhar para as coimas , as taxas e as derrapagens 	Inimigo Público	--	0	1	0	0	0	0	1	0	0	0
Sporting quer avançado argelino Belfodil mas Jorge Jesus garante que “o Belafoda quer jogar no Benfica“ 	Inimigo Público	--	0	1	0	0	0	0	0	1	0	0
‘A Bola’ diz que o Sporting subiu ao sexto lugar , quando está em sétimo , e que o Benfica ganhou a Champions 	Inimigo Público	--	0	1	0	0	0	0	0	0	1	0
Sportinguistas esperam que a saída de Bruma seja irrevogável e que ele volte ao Sporting para a semana 	Inimigo Público	--	0	1	0	0	0	0	1	0	0	0
Selecção começa já amanhã a trabalhar para o Euro 2016 para preparar adaptação à temperatura e humidade da Europa 	Inimigo Público	--	0	1	0	0	1	0	0	0	0	0
Relógio de Paulo Portas que erra a data de saída da 'troika ' foi o mesmo usado para marcar a saída de Paulo Portas do Governo 	Inimigo Público	--	0	1	0	0	0	1	0	0	0	0
Sócrates confessa a RTP , Expresso , Herman , i e TSF que está muito contente com a sua vida e que não quer voltar à vida pública 	Inimigo Público	--	0	1	0	0	0	0	1	0	0	0
Austrália cria novo género 'inter-sexo ' , Governo português quer criar género único 'contribuinte' 	Inimigo Público	--	0	1	0	0	1	1	0	0	0	0
Vítor Gaspar entusiasma-se e vende também a TAP e a RTP aos mercados 	Inimigo Público	--	0	1	0	1	0	0	0	0	0	0
Cavaco Silva exige que Paulo Portas estadista saia do Governo mas que Paulo Portas da lavoura fique 	Inimigo Público	--	0	1	0	0	0	0	1	0	0	0
Organizadores da ‘Festa do Avante ! ’ nervosos porque a Brigada Victor Jara ainda não confirmou presença no festival 	Inimigo Público	--	0	1	0	0	0	0	0	0	0	1
Passos diz que mérito de a selecção portuguesa ter subido no ranking da FIFA é todo de Maria Luís Albuquerque 	Inimigo Público	--	0	1	0	1	1	0	0	0	0	0
BES muda o nome para Novo Banco e governador do Banco de Portugal passa a ser o Novo Carlos 	Inimigo Público	--	0	1	0	0	0	1	0	0	0	0
Nuno Crato aproveita erros de português dos cartazes da Olá para despedir ‘7 mil professores com responsabilidades directas no assunto’ 	Inimigo Público	--	0	1	0	1	0	0	0	0	0	0
CEO da Jerónimo Martins reforma-se e tecnicamente vai passar os dias a dar milho aos pombos num jardim holandês 	Inimigo Público	--	0	1	0	1	0	0	0	0	0	0
Tiki-Taka : Sócrates teve 99,5 % de posse de palavra e jornalistas tiveram apenas 0,5 % de posse de palavra 	Inimigo Público	--	0	1	0	1	0	0	0	0	0	0
Debate : Costa vai dizer ‘Tecnoforma’ quando pigarrear e Passos dirá ‘Sócrates’ quando fungar 	Inimigo Público	--	0	1	0	0	0	0	0	0	1	0
Plano B do Governo é pedir ao José Milhazes para pedir dinheiro à Rússia 	Inimigo Público	--	0	1	0	1	1	0	0	0	0	0
Edição online do 'Diário da República ' com falhas técnicas publicou por engano leis que fazem sentido 	Inimigo Público	--	0	1	0	0	0	0	1	0	0	0
IVA de caixa : Estado apenas vai pagar indemnizações aos funcionários públicos após privatizar todas as empresas públicas 	Inimigo Público	--	0	1	0	1	0	0	0	0	0	0
Bloco aproxima-se de PCP e PS , PS negoceia com CDS e PSD e CDS e PSD propõem aliança ao Zoomarine 	Inimigo Público	--	0	1	0	0	1	0	0	0	0	0
Varoufakis pediu a demissão e vem estudar finanças públicas com o professor Miguel Relvas 	Inimigo Público	--	0	1	0	0	0	0	1	0	0	0
Portas avisa que eleições são daqui a dois anos mas só se não conseguir deitar o governo abaixo antes disso 	Inimigo Público	--	0	1	0	1	0	0	0	0	0	0
