 # webanno.custom.INSTRUMENTO | Feature_Instrumento
#id=1
#text=Rei de Portugal D. Duarte Pio substituiu Cavaco Silva nas comemorações do Dia da República [ [ ANOTACAO_RECURSO_ESTILISTICO ] ]
1-1	Rei	_	
1-2	de	_	
1-3	Portugal	_	
1-4	D.	_	
1-5	Duarte	_	
1-6	Pio	_	
1-7	substituiu	_	
1-8	Cavaco	_	
1-9	Silva	_	
1-10	nas	_	
1-11	comemorações	_	
1-12	do	_	
1-13	Dia	_	
1-14	da	_	
1-15	República	_	
1-16	[	_	
1-17	[	_	
1-18	ANOTACAO_RECURSO_ESTILISTICO	Imparidade	
1-19	]	_	
1-20	]	_	

#id=2
#text=Coligação 4,3 pontos à frente do PS [ [ ANOTACAO_RECURSO_ESTILISTICO ] ]
2-1	Coligação	_	
2-2	4,3	_	
2-3	pontos	_	
2-4	à	_	
2-5	frente	_	
2-6	do	_	
2-7	PS	_	
2-8	[	_	
2-9	[	_	
2-10	ANOTACAO_RECURSO_ESTILISTICO	Sem Evidência	
2-11	]	_	
2-12	]	_	

#id=3
#text=Estátua de Fernando Pessoa senta-se hoje em esplanada do Martim Moniz para evitar as arruadas da PAF , PS , CDU e BE no Chiado [ [ ANOTACAO_RECURSO_ESTILISTICO ] ]
3-1	Estátua	_	
3-2	de	_	
3-3	Fernando	_	
3-4	Pessoa	_	
3-5	senta-se	_	
3-6	hoje	_	
3-7	em	_	
3-8	esplanada	_	
3-9	do	_	
3-10	Martim	_	
3-11	Moniz	_	
3-12	para	_	
3-13	evitar	_	
3-14	as	_	
3-15	arruadas	_	
3-16	da	_	
3-17	PAF	_	
3-18	,	_	
3-19	PS	_	
3-20	,	_	
3-21	CDU	_	
3-22	e	_	
3-23	BE	_	
3-24	no	_	
3-25	Chiado	_	
3-26	[	_	
3-27	[	_	
3-28	ANOTACAO_RECURSO_ESTILISTICO	Imparidade|Outro	
3-29	]	_	
3-30	]	_	

#id=4
#text=Carta escrita por Passos a Sócrates em 2011 prova que Passos só aprendeu a enviar emails em 2012 [ [ ANOTACAO_RECURSO_ESTILISTICO ] ]
4-1	Carta	_	
4-2	escrita	_	
4-3	por	_	
4-4	Passos	_	
4-5	a	_	
4-6	Sócrates	_	
4-7	em	_	
4-8	2011	_	
4-9	prova	_	
4-10	que	_	
4-11	Passos	_	
4-12	só	_	
4-13	aprendeu	_	
4-14	a	_	
4-15	enviar	_	
4-16	emails	_	
4-17	em	_	
4-18	2012	_	
4-19	[	_	
4-20	[	_	
4-21	ANOTACAO_RECURSO_ESTILISTICO	Hipérbole	
4-22	]	_	
4-23	]	_	

#id=5
#text=Ligação fluvial do Tejo vai parar esta terça-feira para cortar a ligação entre a metade portuguesa de Direita e a metade de Esquerda [ [ ANOTACAO_RECURSO_ESTILISTICO ] ]
5-1	Ligação	_	
5-2	fluvial	_	
5-3	do	_	
5-4	Tejo	_	
5-5	vai	_	
5-6	parar	_	
5-7	esta	_	
5-8	terça-feira	_	
5-9	para	_	
5-10	cortar	_	
5-11	a	_	
5-12	ligação	_	
5-13	entre	_	
5-14	a	_	
5-15	metade	_	
5-16	portuguesa	_	
5-17	de	_	
5-18	Direita	_	
5-19	e	_	
5-20	a	_	
5-21	metade	_	
5-22	de	_	
5-23	Esquerda	_	
5-24	[	_	
5-25	[	_	
5-26	ANOTACAO_RECURSO_ESTILISTICO	Imparidade	
5-27	]	_	
5-28	]	_	

#id=6
#text=Cavaco Silva indigita Passos Coelho para primeiro-ministro [ [ ANOTACAO_RECURSO_ESTILISTICO ] ]
6-1	Cavaco	_	
6-2	Silva	_	
6-3	indigita	_	
6-4	Passos	_	
6-5	Coelho	_	
6-6	para	_	
6-7	primeiro-ministro	_	
6-8	[	_	
6-9	[	_	
6-10	ANOTACAO_RECURSO_ESTILISTICO	Sem Evidência	
6-11	]	_	
6-12	]	_	

#id=7
#text=O factor `` estabilidade '' [ [ ANOTACAO_RECURSO_ESTILISTICO ] ]
7-1	O	_	
7-2	factor	_	
7-3	``	_	
7-4	estabilidade	_	
7-5	''	_	
7-6	[	_	
7-7	[	_	
7-8	ANOTACAO_RECURSO_ESTILISTICO	Sem Evidência	
7-9	]	_	
7-10	]	_	

#id=8
#text=Cavaco espera resultados eleitorais para indigitar Passos [ [ ANOTACAO_RECURSO_ESTILISTICO ] ]
8-1	Cavaco	_	
8-2	espera	_	
8-3	resultados	_	
8-4	eleitorais	_	
8-5	para	_	
8-6	indigitar	_	
8-7	Passos	_	
8-8	[	_	
8-9	[	_	
8-10	ANOTACAO_RECURSO_ESTILISTICO	Sem Evidência	
8-11	]	_	
8-12	]	_	

#id=9
#text=A Cavacada [ [ ANOTACAO_RECURSO_ESTILISTICO ] ]
9-1	A	_	
9-2	Cavacada	_	
9-3	[	_	
9-4	[	_	
9-5	ANOTACAO_RECURSO_ESTILISTICO	Vulgarismo	
9-6	]	_	
9-7	]	_	

#id=10
#text=A aposta de Costa também é `` prototipar '' o país [ [ ANOTACAO_RECURSO_ESTILISTICO ] ]
10-1	A	_	
10-2	aposta	_	
10-3	de	_	
10-4	Costa	_	
10-5	também	_	
10-6	é	_	
10-7	``	_	
10-8	prototipar	_	
10-9	''	_	
10-10	o	_	
10-11	país	_	
10-12	[	_	
10-13	[	_	
10-14	ANOTACAO_RECURSO_ESTILISTICO	Hipérbole	
10-15	]	_	
10-16	]	_	

#id=11
#text=José Sócrates já sabe do que é acusado porque teve finalmente acesso a 245 capas do Correio da Manhã [ [ ANOTACAO_RECURSO_ESTILISTICO ] ]
11-1	José	_	
11-2	Sócrates	_	
11-3	já	_	
11-4	sabe	_	
11-5	do	_	
11-6	que	_	
11-7	é	_	
11-8	acusado	_	
11-9	porque	_	
11-10	teve	_	
11-11	finalmente	_	
11-12	acesso	_	
11-13	a	_	
11-14	245	_	
11-15	capas	_	
11-16	do	_	
11-17	Correio	_	
11-18	da	_	
11-19	Manhã	_	
11-20	[	_	
11-21	[	_	
11-22	ANOTACAO_RECURSO_ESTILISTICO	Hipérbole	
11-23	]	_	
11-24	]	_	

#id=12
#text=Tendência de moda deste Outono será andar com líderes partidários aos ombros [ [ ANOTACAO_RECURSO_ESTILISTICO ] ]
12-1	Tendência	_	
12-2	de	_	
12-3	moda	_	
12-4	deste	_	
12-5	Outono	_	
12-6	será	_	
12-7	andar	_	
12-8	com	_	
12-9	líderes	_	
12-10	partidários	_	
12-11	aos	_	
12-12	ombros	_	
12-13	[	_	
12-14	[	_	
12-15	ANOTACAO_RECURSO_ESTILISTICO	Imparidade	
12-16	]	_	
12-17	]	_	

#id=13
#text=Défice sobe um milhão por hora mas Passos diz que se fizermos as contas ao segundo fica pelo custo da bica [ [ ANOTACAO_RECURSO_ESTILISTICO ] ]
13-1	Défice	_	
13-2	sobe	_	
13-3	um	_	
13-4	milhão	_	
13-5	por	_	
13-6	hora	_	
13-7	mas	_	
13-8	Passos	_	
13-9	diz	_	
13-10	que	_	
13-11	se	_	
13-12	fizermos	_	
13-13	as	_	
13-14	contas	_	
