 # webanno.custom.INSTRUMENTO | Feature_Instrumento
#id=1
#text=NSA espiou tese de mestrado de José Sócrates [ [ ANOTACAO_RECURSO_ESTILISTICO ] ]
1-1	NSA	_	
1-2	espiou	_	
1-3	tese	_	
1-4	de	_	
1-5	mestrado	_	
1-6	de	_	
1-7	José	_	
1-8	Sócrates	_	
1-9	[	_	
1-10	[	_	
1-11	ANOTACAO_RECURSO_ESTILISTICO	Hipérbole	
1-12	]	_	
1-13	]	_	

#id=2
#text=Lojas de luxo da Avenida da Liberdade entram em pânico com o fim das boas relações entre Portugal e Angola [ [ ANOTACAO_RECURSO_ESTILISTICO ] ]
2-1	Lojas	_	
2-2	de	_	
2-3	luxo	_	
2-4	da	_	
2-5	Avenida	_	
2-6	da	_	
2-7	Liberdade	_	
2-8	entram	_	
2-9	em	_	
2-10	pânico	_	
2-11	com	_	
2-12	o	_	
2-13	fim	_	
2-14	das	_	
2-15	boas	_	
2-16	relações	_	
2-17	entre	_	
2-18	Portugal	_	
2-19	e	_	
2-20	Angola	_	
2-21	[	_	
2-22	[	_	
2-23	ANOTACAO_RECURSO_ESTILISTICO	Metáfora	
2-24	]	_	
2-25	]	_	

#id=3
#text=Mário Soares diz que o cão do ‘Family Guy’ morreu porque o Governo está a destruir o SNS [ [ ANOTACAO_RECURSO_ESTILISTICO ] ]
3-1	Mário	_	
3-2	Soares	_	
3-3	diz	_	
3-4	que	_	
3-5	o	_	
3-6	cão	_	
3-7	do	_	
3-8	‘Family	_	
3-9	Guy’	_	
3-10	morreu	_	
3-11	porque	_	
3-12	o	_	
3-13	Governo	_	
3-14	está	_	
3-15	a	_	
3-16	destruir	_	
3-17	o	_	
3-18	SNS	_	
3-19	[	_	
3-20	[	_	
3-21	ANOTACAO_RECURSO_ESTILISTICO	Imparidade|Metáfora	
3-22	]	_	
3-23	]	_	

#id=4
#text=Troika pode ter entrado em Portugal com passaportes falsos da Guiné-Bissau [ [ ANOTACAO_RECURSO_ESTILISTICO ] ]
4-1	Troika	_	
4-2	pode	_	
4-3	ter	_	
4-4	entrado	_	
4-5	em	_	
4-6	Portugal	_	
4-7	com	_	
4-8	passaportes	_	
4-9	falsos	_	
4-10	da	_	
4-11	Guiné-Bissau	_	
4-12	[	_	
4-13	[	_	
4-14	ANOTACAO_RECURSO_ESTILISTICO	Paradoxo	
4-15	]	_	
4-16	]	_	

#id=5
#text=Nova 'ASAE das gasolinas ' vai limitar-se a inspeccionar depósitos de combustível dos ciganos nas feiras [ [ ANOTACAO_RECURSO_ESTILISTICO ] ]
5-1	Nova	_	
5-2	'ASAE	_	
5-3	das	_	
5-4	gasolinas	_	
5-5	'	_	
5-6	vai	_	
5-7	limitar-se	_	
5-8	a	_	
5-9	inspeccionar	_	
5-10	depósitos	_	
5-11	de	_	
5-12	combustível	_	
5-13	dos	_	
5-14	ciganos	_	
5-15	nas	_	
5-16	feiras	_	
5-17	[	_	
5-18	[	_	
5-19	ANOTACAO_RECURSO_ESTILISTICO	Metáfora|Hipérbole	
5-20	]	_	
5-21	]	_	

#id=6
#text=Marcelo Rebelo de Sousa só avança para a Presidência da República quando Jesus descer do Benfica [ [ ANOTACAO_RECURSO_ESTILISTICO ] ]
6-1	Marcelo	_	
6-2	Rebelo	_	
6-3	de	_	
6-4	Sousa	_	
6-5	só	_	
6-6	avança	_	
6-7	para	_	
6-8	a	_	
6-9	Presidência	_	
6-10	da	_	
6-11	República	_	
6-12	quando	_	
6-13	Jesus	_	
6-14	descer	_	
6-15	do	_	
6-16	Benfica	_	
6-17	[	_	
6-18	[	_	
6-19	ANOTACAO_RECURSO_ESTILISTICO	Imparidade	
6-20	]	_	
6-21	]	_	

#id=7
#text=Suecos queixam-se que publicidade televisiva a ‘Bem-vindos a Beirais’ tapava a baliza de Patrício [ [ ANOTACAO_RECURSO_ESTILISTICO ] ]
7-1	Suecos	_	
7-2	queixam-se	_	
7-3	que	_	
7-4	publicidade	_	
7-5	televisiva	_	
7-6	a	_	
7-7	‘Bem-vindos	_	
7-8	a	_	
7-9	Beirais’	_	
7-10	tapava	_	
7-11	a	_	
7-12	baliza	_	
7-13	de	_	
7-14	Patrício	_	
7-15	[	_	
7-16	[	_	
7-17	ANOTACAO_RECURSO_ESTILISTICO	Metáfora|Imparidade	
7-18	]	_	
7-19	]	_	

#id=8
#text=Pedro Passos Coelho vai decretar que o Natal apenas volta em 2015 [ [ ANOTACAO_RECURSO_ESTILISTICO ] ]
8-1	Pedro	_	
8-2	Passos	_	
8-3	Coelho	_	
8-4	vai	_	
8-5	decretar	_	
8-6	que	_	
8-7	o	_	
8-8	Natal	_	
8-9	apenas	_	
8-10	volta	_	
8-11	em	_	
8-12	2015	_	
8-13	[	_	
8-14	[	_	
8-15	ANOTACAO_RECURSO_ESTILISTICO	Paradoxo	
8-16	]	_	
8-17	]	_	

#id=9
#text=Governo anuncia que os 85 novos milionários portugueses estavam todos desempregados em 2010 [ [ ANOTACAO_RECURSO_ESTILISTICO ] ]
9-1	Governo	_	
9-2	anuncia	_	
9-3	que	_	
9-4	os	_	
9-5	85	_	
9-6	novos	_	
9-7	milionários	_	
9-8	portugueses	_	
9-9	estavam	_	
9-10	todos	_	
9-11	desempregados	_	
9-12	em	_	
9-13	2010	_	
9-14	[	_	
9-15	[	_	
9-16	ANOTACAO_RECURSO_ESTILISTICO	Metáfora	
9-17	]	_	
9-18	]	_	

#id=10
#text=Israel constrói colonato no Estádio de Alvalade [ [ ANOTACAO_RECURSO_ESTILISTICO ] ]
10-1	Israel	_	
10-2	constrói	_	
10-3	colonato	_	
10-4	no	_	
10-5	Estádio	_	
10-6	de	_	
10-7	Alvalade	_	
10-8	[	_	
10-9	[	_	
10-10	ANOTACAO_RECURSO_ESTILISTICO	Imparidade	
10-11	]	_	
10-12	]	_	

#id=11
#text=Última hora : Portugal oferece ajuda externa aos EUA [ [ ANOTACAO_RECURSO_ESTILISTICO ] ]
11-1	Última	_	
11-2	hora	_	
11-3	:	_	
11-4	Portugal	_	
11-5	oferece	_	
11-6	ajuda	_	
11-7	externa	_	
11-8	aos	_	
11-9	EUA	_	
11-10	[	_	
11-11	[	_	
11-12	ANOTACAO_RECURSO_ESTILISTICO	Hipérbole|Paradoxo	
11-13	]	_	
11-14	]	_	

#id=12
#text=Cidade construída para os funcionários do ‘Facebook ‘vai eleger um autarca presidiário [ [ ANOTACAO_RECURSO_ESTILISTICO ] ]
12-1	Cidade	_	
12-2	construída	_	
12-3	para	_	
12-4	os	_	
12-5	funcionários	_	
12-6	do	_	
12-7	‘Facebook	_	
12-8	‘vai	_	
12-9	eleger	_	
12-10	um	_	
12-11	autarca	_	
12-12	presidiário	_	
12-13	[	_	
12-14	[	_	
12-15	ANOTACAO_RECURSO_ESTILISTICO	Metáfora	
12-16	]	_	
12-17	]	_	

#id=13
#text=Natalidade em Portugal desce para os níveis de 1900 , economia para os níveis de 200 a.C. [ [ ANOTACAO_RECURSO_ESTILISTICO ] ]
13-1	Natalidade	_	
13-2	em	_	
13-3	Portugal	_	
13-4	desce	_	
13-5	para	_	
13-6	os	_	
13-7	níveis	_	
13-8	de	_	
13-9	1900	_	
13-10	,	_	
13-11	economia	_	
13-12	para	_	
13-13	os	_	
13-14	níveis	_	
13-15	de	_	
13-16	200	_	
13-17	a.C.	_	
13-18	[	_	
13-19	[	_	
13-20	ANOTACAO_RECURSO_ESTILISTICO	Hipérbole	
13-21	]	_	
13-22	]	_	

#id=14
#text=Pinto da Costa tenta desviar estátua do benfiquista Cosme Damião para o Porto [ [ ANOTACAO_RECURSO_ESTILISTICO ] ]
14-1	Pinto	_	
14-2	da	_	
14-3	Costa	_	
14-4	tenta	_	
14-5	desviar	_	
14-6	estátua	_	
14-7	do	_	
14-8	benfiquista	_	
14-9	Cosme	_	
14-10	Damião	_	
14-11	para	_	
14-12	o	_	
14-13	Porto	_	
14-14	[	_	
14-15	[	_	
14-16	ANOTACAO_RECURSO_ESTILISTICO	Paradoxo	
14-17	]	_	
14-18	]	_	

#id=15
#text=Passos fez as contas e diz que programa cautelar vai durar um ano e acabar em 2022 [ [ ANOTACAO_RECURSO_ESTILISTICO ] ]
15-1	Passos	_	
15-2	fez	_	
15-3	as	_	
15-4	contas	_	
15-5	e	_	
15-6	diz	_	
15-7	que	_	
15-8	programa	_	
15-9	cautelar	_	
15-10	vai	_	
15-11	durar	_	
15-12	um	_	
15-13	ano	_	
15-14	e	_	
15-15	acabar	_	
15-16	em	_	
15-17	2022	_	
15-18	[	_	
15-19	[	_	
15-20	ANOTACAO_RECURSO_ESTILISTICO	Paradoxo	
15-21	]	_	
15-22	]	_	

#id=16
#text=Cristiano Ronaldo exige ficar na suite do Hotel Copacabana onde Miguel Relvas passou o reveillon [ [ ANOTACAO_RECURSO_ESTILISTICO ] ]
16-1	Cristiano	_	
16-2	Ronaldo	_	
16-3	exige	_	
16-4	ficar	_	
16-5	na	_	
16-6	suite	_	
16-7	do	_	
16-8	Hotel	_	
16-9	Copacabana	_	
16-10	onde	_	
16-11	Miguel	_	
16-12	Relvas	_	
16-13	passou	_	
16-14	o	_	
16-15	reveillon	_	
16-16	[	_	
16-17	[	_	
16-18	ANOTACAO_RECURSO_ESTILISTICO	Imparidade|Hipérbole	
16-19	]	_	
16-20	]	_	

#id=17
#text=Última hora : Machete demite-se e vai estudar a separação de poderes para Paris [ [ ANOTACAO_RECURSO_ESTILISTICO ] ]
17-1	Última	_	
17-2	hora	_	
17-3	:	_	
17-4	Machete	_	
17-5	demite-se	_	
17-6	e	_	
17-7	vai	_	
17-8	estudar	_	
17-9	a	_	
17-10	separação	_	
17-11	de	_	
17-12	poderes	_	
17-13	para	_	
17-14	Paris	_	
17-15	[	_	
17-16	[	_	
17-17	ANOTACAO_RECURSO_ESTILISTICO	Metáfora	
17-18	]	_	
17-19	]	_	

#id=18
#text=Artista britânico Banksy cria camião com contribuintes portugueses a caminho do matadouro [ [ ANOTACAO_RECURSO_ESTILISTICO ] ]
18-1	Artista	_	
18-2	britânico	_	
18-3	Banksy	_	
18-4	cria	_	
18-5	camião	_	
18-6	com	_	
18-7	contribuintes	_	
18-8	portugueses	_	
18-9	a	_	
18-10	caminho	_	
18-11	do	_	
18-12	matadouro	_	
18-13	[	_	
18-14	[	_	
18-15	ANOTACAO_RECURSO_ESTILISTICO	Hipérbole	
18-16	]	_	
18-17	]	_	

#id=19
#text=Troika admite programa cautelar mesmo que o PS , o PSD e o CDS-PP não o subscrevam [ [ ANOTACAO_RECURSO_ESTILISTICO ] ]
19-1	Troika	_	
19-2	admite	_	
19-3	programa	_	
19-4	cautelar	_	
19-5	mesmo	_	
19-6	que	_	
19-7	o	_	
19-8	PS	_	
19-9	,	_	
19-10	o	_	
19-11	PSD	_	
19-12	e	_	
19-13	o	_	
19-14	CDS-PP	_	
19-15	não	_	
19-16	o	_	
19-17	subscrevam	_	
19-18	[	_	
19-19	[	_	
19-20	ANOTACAO_RECURSO_ESTILISTICO	Paradoxo	
19-21	]	_	
19-22	]	_	

#id=20
#text=Cidadãos angolanos investigados pelo Ministério Público apresentam pareceres do pai do Código Penal , do pai da Constituição e do pai do défice [ [ ANOTACAO_RECURSO_ESTILISTICO ] ]
20-1	Cidadãos	_	
20-2	angolanos	_	
20-3	investigados	_	
20-4	pelo	_	
20-5	Ministério	_	
20-6	Público	_	
20-7	apresentam	_	
20-8	pareceres	_	
20-9	do	_	
20-10	pai	_	
20-11	do	_	
20-12	Código	_	
20-13	Penal	_	
20-14	,	_	
20-15	do	_	
20-16	pai	_	
20-17	da	_	
